Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_Excel,Chrome 121.0.0.0,,,09-02-2024 01:08:37,09-02-2024 01:08:59,21.796s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login,Chrome 121.0.0.0,,,09-02-2024 01:08:37,09-02-2024 01:08:59,21.594s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,09-02-2024 01:08:37,09-02-2024 01:08:39,1.661s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,09-02-2024 01:08:39,09-02-2024 01:08:41,2.016s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,09-02-2024 01:08:41,09-02-2024 01:08:53,12.573s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), username)",Chrome 121.0.0.0,,,09-02-2024 01:08:53,09-02-2024 01:08:55,1.706s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,09-02-2024 01:08:55,09-02-2024 01:08:56,1.123s,PASSED
"setText(findTestObject(""Amazon_Button_OR/Page_Amazon Sign In/input_Forgot Password_password""), password)",Chrome 121.0.0.0,,,09-02-2024 01:08:56,09-02-2024 01:08:58,1.719s,PASSED
"click(findTestObject(""Amazon_Button_OR/Page_Amazon Sign In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,09-02-2024 01:08:58,09-02-2024 01:08:58,0.322s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,09-02-2024 01:08:58,09-02-2024 01:08:58,0.180s,PASSED
