Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_checkout,Chrome 121.0.0.0,,,2024-02-10 14:54:37,2024-02-10 14:55:41,1m - 4.729s,PASSED
,,,,,,,
Test Cases/Amazon/TC_checkout,Chrome 121.0.0.0,,,2024-02-10 14:54:37,2024-02-10 14:55:41,1m - 4.454s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,2024-02-10 14:54:37,2024-02-10 14:54:43,5.802s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,2024-02-10 14:54:43,2024-02-10 14:54:47,3.921s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,2024-02-10 14:54:47,2024-02-10 14:54:49,1.981s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,2024-02-10 14:54:49,2024-02-10 14:54:50,1.330s,PASSED
"click(findTestObject(""Object Repository/Amazon_checkout_OR1/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,2024-02-10 14:54:50,2024-02-10 14:54:54,3.319s,PASSED
"setText(findTestObject(""Object Repository/Amazon_checkout_OR1/Page_Amazon Sign In/input_Email or mobile phone number_email""), username)",Chrome 121.0.0.0,,,2024-02-10 14:54:54,2024-02-10 14:54:55,1.543s,PASSED
"click(findTestObject(""Object Repository/Amazon_checkout_OR1/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,2024-02-10 14:54:55,2024-02-10 14:54:56,0.915s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_checkout_OR1/Page_Amazon Sign In/input_Forgot Password_password""), ""jKhJCufa6utDUfafCRSIiw=="")",Chrome 121.0.0.0,,,2024-02-10 14:54:56,2024-02-10 14:54:57,0.967s,PASSED
"click(findTestObject(""Object Repository/Amazon_checkout_OR1/Page_Amazon Sign In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,2024-02-10 14:54:57,2024-02-10 14:54:57,0.391s,PASSED
"click(findTestObject(""Object Repository/Amazon_checkout_OR1/Page_Online Shopping site in India Shop Onl_10c5f3/a_9                                        _5a3c93""))",Chrome 121.0.0.0,,,2024-02-10 14:54:57,2024-02-10 14:55:30,32.557s,PASSED
"click(findTestObject(""Object Repository/Amazon_checkout_OR1/Page_Amazon.in Shopping Cart/input_This order contains a gift_proceedToR_057b5e""))",Chrome 121.0.0.0,,,2024-02-10 14:55:30,2024-02-10 14:55:31,1.486s,PASSED
"click(findTestObject(""Object Repository/Amazon_checkout_OR1/Page_Select a delivery address/input_Amazon.in homepage_a-button-input""))",Chrome 121.0.0.0,,,2024-02-10 14:55:31,2024-02-10 14:55:41,9.263s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,2024-02-10 14:55:41,2024-02-10 14:55:41,0.674s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,2024-02-10 14:55:41,2024-02-10 14:55:41,0.006s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,2024-02-10 14:55:41,2024-02-10 14:55:41,0.004s,PASSED
